number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,state,rmse
126,0.07286374725189262,2026-07-27 05:22:14.257561,2026-07-27 05:22:24.655062,0 days 00:00:10.397501,0.9854413557193636,254,6,1.695825710189753,0.012369846557623299,38,1.5421114104431184,COMPLETE,0.2699328569327799
155,0.0728649573562088,2026-07-27 05:28:03.801095,2026-07-27 05:28:16.998553,0 days 00:00:13.197458,0.8933691533893973,254,6,1.8122560021936922,0.01000170358494578,37,2.245297697782818,COMPLETE,0.26993509841480195
165,0.07286583002889901,2026-07-27 05:29:55.425167,2026-07-27 05:30:28.860572,0 days 00:00:33.435405,0.9713854452560261,254,6,2.2259067606933067,0.012039468400907924,31,2.709533448886601,COMPLETE,0.26993671485905546
35,0.07286607156639932,2026-07-27 05:06:44.187310,2026-07-27 05:06:52.388776,0 days 00:00:08.201466,0.7368926837913256,254,5,2.2835556326148314,0.011884843874842663,10,1.1347725714312185,COMPLETE,0.26993716225521697
163,0.07286739014683156,2026-07-27 05:29:28.998208,2026-07-27 05:29:41.375156,0 days 00:00:12.376948,0.2317248487910477,254,6,2.7451134048010832,0.011190672278188077,34,1.5527801426488543,COMPLETE,0.2699396046282049
174,0.07286755319314078,2026-07-27 05:32:54.951403,2026-07-27 05:33:06.603139,0 days 00:00:11.651736,0.9954010981205932,254,6,1.9183381577265044,0.011188142389853106,30,2.561495706158049,COMPLETE,0.2699399066332001
150,0.07286833839716006,2026-07-27 05:27:03.639451,2026-07-27 05:27:14.638924,0 days 00:00:10.999473,0.8827404921521079,254,6,1.6278859790986169,0.010480353884619322,39,1.3164863042128134,COMPLETE,0.2699413610345033
103,0.07286928173040552,2026-07-27 05:17:12.451763,2026-07-27 05:17:26.421336,0 days 00:00:13.969573,0.8562806505488049,254,6,2.1053762458326375,0.010483762758572764,3,3.023195910589087,COMPLETE,0.2699431083217453
106,0.07287016830085986,2026-07-27 05:17:53.491038,2026-07-27 05:18:04.499309,0 days 00:00:11.008271,0.9387829316099143,254,6,2.843642352066684,0.011999475459165633,7,1.7625092480866835,COMPLETE,0.26994475045990407
104,0.07287045497222776,2026-07-27 05:17:26.429900,2026-07-27 05:17:37.859027,0 days 00:00:11.429127,0.9553007653077691,254,6,2.46069353801943,0.011990519783896848,5,1.9435047298529544,COMPLETE,0.269945281440939
31,0.07287070202758146,2026-07-27 05:06:22.266424,2026-07-27 05:06:29.414148,0 days 00:00:07.147724,0.7686016647001799,254,5,2.6248487668035736,0.012296417457027493,2,0.8738651461299293,COMPLETE,0.26994573904320374
67,0.0728712650639065,2026-07-27 05:11:25.499520,2026-07-27 05:11:32.641945,0 days 00:00:07.142425,0.8214032195080115,254,4,9.06830462994994,0.01434363790179597,8,1.6212193513472055,COMPLETE,0.2699467819106323
62,0.07287138697695283,2026-07-27 05:10:28.706255,2026-07-27 05:10:37.485210,0 days 00:00:08.778955,0.8757778364118423,254,5,7.214912541543055,0.011957460750416657,3,1.2537338026238611,COMPLETE,0.26994700771994645
47,0.07287168144276687,2026-07-27 05:07:50.777706,2026-07-27 05:07:57.908402,0 days 00:00:07.130696,0.5216825290003299,254,4,3.791322950605486,0.010950950073776252,5,0.6831277723318309,COMPLETE,0.26994755313350566
59,0.0728724435267798,2026-07-27 05:10:05.548248,2026-07-27 05:10:15.706074,0 days 00:00:10.157826,0.6242773194136575,254,5,8.393878676087168,0.011221710262588823,5,2.33234207799024,COMPLETE,0.26994896467069435
144,0.07287313521111635,2026-07-27 05:25:57.989647,2026-07-27 05:26:09.247227,0 days 00:00:11.257580,0.8312294743966065,254,6,1.7851512924636055,0.012092443491074623,33,2.3061618138204816,COMPLETE,0.26995024580673443
74,0.07287528341369466,2026-07-27 05:12:16.998283,2026-07-27 05:12:24.081093,0 days 00:00:07.082810,0.694767641128336,254,5,3.150583252559219,0.014167428541437108,6,0.8960998391839681,COMPLETE,0.269954224663543
42,0.07287607188339895,2026-07-27 05:07:22.785340,2026-07-27 05:07:31.924773,0 days 00:00:09.139433,0.6204677490264079,254,5,3.597327468492152,0.011381298803359315,10,1.4804793281739208,COMPLETE,0.2699556850362647
48,0.07287683715474609,2026-07-27 05:07:57.917172,2026-07-27 05:08:04.991219,0 days 00:00:07.074047,0.9422198356649079,254,5,6.0594492970257035,0.01599924469102917,1,1.7441028840662132,COMPLETE,0.2699571024343425
146,0.07287765296179101,2026-07-27 05:26:22.936479,2026-07-27 05:26:34.084806,0 days 00:00:11.148327,0.8623177065791251,254,6,1.3502689673650068,0.01046818762495165,41,1.370698877359691,COMPLETE,0.26995861342396726
77,0.07288189808033638,2026-07-27 05:13:04.018908,2026-07-27 05:13:09.591025,0 days 00:00:05.572117,0.8324421574249399,254,5,3.5943605904019504,0.016584572991201134,2,0.4479152230946918,COMPLETE,0.26996647584531
33,0.07288284955612165,2026-07-27 05:06:36.316058,2026-07-27 05:06:41.354590,0 days 00:00:05.038532,0.8501540887053661,254,6,4.969658763488366,0.022584885705214313,6,0.5094158048285973,COMPLETE,0.269968238050556
169,0.07288305917071627,2026-07-27 05:31:15.561335,2026-07-27 05:31:29.409676,0 days 00:00:13.848341,0.9586590053870895,254,7,2.4211291989549584,0.012798229414639884,33,1.8620301514164064,COMPLETE,0.2699686262711211
28,0.07288595853320926,2026-07-27 05:06:02.921784,2026-07-27 05:06:08.873509,0 days 00:00:05.951725,0.6904985293859538,254,4,2.774708290504625,0.012743830931580833,13,0.37075082983246077,COMPLETE,0.2699739960314868
32,0.07288603904114974,2026-07-27 05:06:29.422738,2026-07-27 05:06:36.307391,0 days 00:00:06.884653,0.6515090943307191,254,6,3.423698679308029,0.015083630702058464,10,0.7399947378622546,COMPLETE,0.26997414513458456
60,0.072886263877154,2026-07-27 05:10:15.714707,2026-07-27 05:10:21.391323,0 days 00:00:05.676616,0.5934534440131808,254,4,5.289963597266275,0.013759997350973021,1,0.4998804201816752,COMPLETE,0.2699745615371085
37,0.07288860418456018,2026-07-27 05:06:56.662811,2026-07-27 05:07:03.988437,0 days 00:00:07.325626,0.912587355247904,254,6,1.8677431948179473,0.014128694478853123,26,0.7199844096428563,COMPLETE,0.2699788958132842
26,0.07288968540522003,2026-07-27 05:05:51.213929,2026-07-27 05:05:56.986432,0 days 00:00:05.772503,0.9983260204300335,254,5,6.8571136789463125,0.0190810401656261,24,1.1537692145400644,COMPLETE,0.2699808982228558
18,0.07288993851390572,2026-07-27 05:04:47.469354,2026-07-27 05:05:04.327697,0 days 00:00:16.858343,0.5846569946749524,254,7,4.288280047031839,0.01118656865027002,17,2.2379844382847827,COMPLETE,0.2699813669754002
98,0.07289019620621918,2026-07-27 05:16:00.825450,2026-07-27 05:16:19.418971,0 days 00:00:18.593521,0.9988661377085578,254,7,2.1762473721160167,0.010594849110158611,11,2.458837942795798,COMPLETE,0.26998184421590127
58,0.07289023173109568,2026-07-27 05:09:56.863026,2026-07-27 05:10:05.538753,0 days 00:00:08.675727,0.7245771673807042,254,6,7.264142560040518,0.015425156217051761,3,1.2886746814477008,COMPLETE,0.2699819100071256
2,0.0728907593167581,2026-07-27 05:00:46.385308,2026-07-27 05:01:04.186797,0 days 00:00:17.801489,0.5626078786623131,254,7,1.2973749049491015,0.010354662920680742,19,2.2630123711947205,COMPLETE,0.26998288708130763
116,0.07289325658970074,2026-07-27 05:20:11.966136,2026-07-27 05:20:22.710227,0 days 00:00:10.744091,0.8914090413986158,254,6,2.7934188282643664,0.012011653991227349,3,1.870821827203768,COMPLETE,0.269987511914349
44,0.07289572913732495,2026-07-27 05:07:37.062163,2026-07-27 05:07:43.040499,0 days 00:00:05.978336,0.7057447343039409,254,4,8.0120559201655,0.014361721282619923,29,0.9796784288908097,COMPLETE,0.2699920908792051
